2025-11-26 06:36:13 | NOT FOUND | {"payout":"0.3675","tracker_click_id":"","status":"open"}
2025-11-26 06:36:15 | NOT FOUND | {"payout":"0.3675","tracker_click_id":"","status":"open"}
2025-11-26 06:36:15 | NOT FOUND | {"payout":"0.3675","tracker_click_id":"","status":"open"}
2025-11-26 06:36:23 | NOT FOUND | {"payout":"0.3675","tracker_click_id":"","status":"open"}
2025-11-26 06:36:23 | NOT FOUND | {"payout":"0.3675","tracker_click_id":"","status":"open"}
2025-11-26 06:36:30 | NOT FOUND | {"payout":"0.3675","tracker_click_id":"","status":"open"}
2025-11-26 06:36:35 | NOT FOUND | {"payout":"0.3675","tracker_click_id":"","status":"open"}
2025-11-26 14:24:26 | NOT FOUND | {"payout":"6.72","tracker_click_id":"","status":"rejected"}
2025-11-26 14:24:53 | NOT FOUND | {"payout":"6.72","tracker_click_id":"","status":"rejected"}
2025-11-26 14:25:24 | NOT FOUND | {"payout":"0.3675","tracker_click_id":"","status":"open"}
2025-11-26 14:25:26 | NOT FOUND | {"payout":"0.3675","tracker_click_id":"","status":"open"}
2025-11-26 14:25:26 | NOT FOUND | {"payout":"0.3675","tracker_click_id":"","status":"open"}
2025-11-26 14:25:26 | NOT FOUND | {"payout":"0.3675","tracker_click_id":"","status":"open"}
2025-11-26 14:25:26 | NOT FOUND | {"payout":"0.3675","tracker_click_id":"","status":"open"}
2025-11-26 14:25:28 | NOT FOUND | {"payout":"0.3675","tracker_click_id":"","status":"open"}
2025-11-26 14:25:28 | NOT FOUND | {"payout":"0.3675","tracker_click_id":"","status":"open"}
2025-11-26 14:25:29 | NOT FOUND | {"payout":"0.3675","tracker_click_id":"","status":"open"}
2025-11-26 14:25:30 | NOT FOUND | {"payout":"0.3675","tracker_click_id":"","status":"open"}
2025-11-26 14:25:31 | NOT FOUND | {"payout":"0.3675","tracker_click_id":"","status":"open"}
2025-11-26 14:25:33 | NOT FOUND | {"payout":"0.3675","tracker_click_id":"","status":"open"}
2025-11-26 14:25:34 | NOT FOUND | {"payout":"0.3675","tracker_click_id":"","status":"open"}
2025-11-26 14:25:40 | NOT FOUND | {"payout":"0.3675","tracker_click_id":"","status":"open"}
2025-11-26 14:25:41 | NOT FOUND | {"payout":"0.3675","tracker_click_id":"","status":"open"}
2025-11-26 14:25:42 | NOT FOUND | {"payout":"0.3675","tracker_click_id":"","status":"open"}
2025-11-26 14:25:42 | NOT FOUND | {"payout":"0.3675","tracker_click_id":"","status":"open"}
2025-11-26 14:25:45 | NOT FOUND | {"payout":"0.3675","tracker_click_id":"","status":"open"}
2025-11-26 14:25:45 | NOT FOUND | {"payout":"0.3675","tracker_click_id":"","status":"open"}
2025-11-26 14:25:49 | NOT FOUND | {"payout":"0.3675","tracker_click_id":"","status":"open"}
2025-11-26 14:25:51 | NOT FOUND | {"payout":"0.3675","tracker_click_id":"","status":"open"}
2025-11-26 14:25:55 | NOT FOUND | {"payout":"0.3675","tracker_click_id":"","status":"open"}
